kernel,M,N,K,flops,mean_ms,p50_ms,min_ms,gflops,pct_peak
sgemm,1,64,64,8192,0.000397,0.000416,0.000375,21.845,1.53
sgemm,1,128,128,32768,0.001039,0.001041,0.001000,32.768,2.29
sgemm,1,192,192,73728,0.003618,0.003625,0.003583,20.577,1.44
sgemm,1,256,256,131072,0.002357,0.002375,0.002292,57.187,3.99
sgemm,1,384,384,294912,0.004522,0.004521,0.004459,66.139,4.62
sgemm,1,512,512,524288,0.007750,0.007792,0.007583,69.140,4.83
sgemm,1,768,768,1179648,0.015807,0.015812,0.015291,77.147,5.39
sgemm,1,1024,1024,2097152,0.025504,0.025209,0.024500,85.598,5.98
sgemm,1,1536,1536,4718592,0.070133,0.071563,0.063292,74.553,5.21
sgemm,1,2048,2048,8388608,0.273390,0.259583,0.254292,32.988,2.30
sgemm,2,64,64,16384,0.002722,0.002709,0.002625,6.242,0.44
sgemm,2,128,128,65536,0.000672,0.000625,0.000625,104.858,7.32
sgemm,2,192,192,147456,0.001178,0.001125,0.001042,141.512,9.88
sgemm,2,256,256,262144,0.001921,0.001833,0.001667,157.255,10.98
sgemm,2,384,384,589824,0.003882,0.003812,0.003458,170.568,11.91
sgemm,2,512,512,1048576,0.008251,0.008000,0.007625,137.518,9.60
sgemm,2,768,768,2359296,0.013881,0.013417,0.013000,181.484,12.67
sgemm,2,1024,1024,4194304,0.033950,0.034042,0.031875,131.586,9.19
sgemm,2,1536,1536,9437184,0.127604,0.127146,0.125250,75.347,5.26
sgemm,2,2048,2048,16777216,1.074740,1.056833,0.913458,18.367,1.28
sgemm,4,64,64,32768,0.001385,0.001375,0.001375,23.831,1.66
sgemm,4,128,128,131072,0.000676,0.000625,0.000583,224.823,15.70
sgemm,4,192,192,294912,0.001160,0.001084,0.001083,272.310,19.01
sgemm,4,256,256,524288,0.001975,0.001959,0.001750,299.593,20.92
sgemm,4,384,384,1179648,0.003802,0.003625,0.003541,333.140,23.26
sgemm,4,512,512,2097152,0.008400,0.008188,0.007708,272.075,19.00
sgemm,4,768,768,4718592,0.014226,0.014041,0.013250,356.120,24.87
sgemm,4,1024,1024,8388608,0.037115,0.037729,0.034958,239.962,16.76
sgemm,4,1536,1536,18874368,0.153749,0.152021,0.149042,126.638,8.84
