kernel,M,N,K,flops,mean_ms,p50_ms,min_ms,gflops,pct_peak
sgemm,1,64,64,8192,0.000368,0.000375,0.000333,24.601,1.72
sgemm,1,128,128,32768,0.000947,0.000958,0.000916,35.773,2.51
sgemm,1,192,192,73728,0.003310,0.003333,0.003250,22.686,1.59
sgemm,1,256,256,131072,0.002154,0.002146,0.002125,61.681,4.32
sgemm,1,384,384,294912,0.004525,0.004541,0.004333,68.062,4.77
sgemm,1,512,512,524288,0.007178,0.007208,0.007042,74.452,5.21
sgemm,1,768,768,1179648,0.014860,0.014875,0.014500,81.355,5.70
sgemm,1,1024,1024,2097152,0.026435,0.026292,0.024792,84.590,5.92
sgemm,1,1536,1536,4718592,0.060328,0.060208,0.059375,79.471,5.57
sgemm,1,2048,2048,8388608,0.291371,0.287271,0.283708,29.568,2.07
sgemm,2,64,64,16384,0.002678,0.002667,0.002625,6.242,0.44
sgemm,2,128,128,65536,0.000671,0.000625,0.000583,112.412,7.87
sgemm,2,192,192,147456,0.001192,0.001125,0.001042,141.512,9.91
sgemm,2,256,256,262144,0.001889,0.001792,0.001667,157.255,11.01
sgemm,2,384,384,589824,0.004015,0.003875,0.003583,164.617,11.53
sgemm,2,512,512,1048576,0.008275,0.008167,0.007583,138.280,9.68
sgemm,2,768,768,2359296,0.014203,0.014042,0.013292,177.497,12.43
sgemm,2,1024,1024,4194304,0.034672,0.034563,0.033875,123.817,8.67
sgemm,2,1536,1536,9437184,0.141707,0.117667,0.112791,83.670,5.86
sgemm,2,2048,2048,16777216,1.004019,0.891021,0.858417,19.544,1.37
sgemm,4,64,64,32768,0.001362,0.001375,0.001333,24.582,1.72
sgemm,4,128,128,131072,0.000674,0.000625,0.000625,209.715,14.69
sgemm,4,192,192,294912,0.001178,0.001125,0.001041,283.297,19.84
sgemm,4,256,256,524288,0.001918,0.001834,0.001667,314.510,22.03
sgemm,4,384,384,1179648,0.003954,0.003812,0.003500,337.042,23.60
sgemm,4,512,512,2097152,0.008526,0.008375,0.008041,260.807,18.27
sgemm,4,768,768,4718592,0.014249,0.014083,0.013375,352.792,24.71
sgemm,4,1024,1024,8388608,0.034351,0.034500,0.030958,270.967,18.98
sgemm,4,1536,1536,18874368,0.180817,0.160188,0.117042,161.261,11.29
sgemm,4,2048,2048,33554432,0.898303,0.879355,0.840375,39.928,2.80
sgemm,8,64,64,65536,0.000362,0.000333,0.000291,225.210,15.77
sgemm,8,128,128,262144,0.000693,0.000666,0.000583,449.647,31.49
sgemm,8,192,192,589824,0.001217,0.001167,0.001083,544.620,38.14
sgemm,8,256,256,1048576,0.001949,0.001875,0.001750,599.186,41.96
sgemm,8,384,384,2359296,0.003964,0.003834,0.003666,643.561,45.07
sgemm,8,512,512,4194304,0.008648,0.008458,0.008166,513.630,35.97
sgemm,8,768,768,9437184,0.016156,0.016271,0.015000,629.146,44.06
sgemm,8,1024,1024,16777216,0.040346,0.040542,0.034708,483.382,33.85
sgemm,8,1536,1536,37748736,0.110510,0.109313,0.108000,349.525,24.48
sgemm,8,2048,2048,67108864,1.227736,0.995000,0.862833,77.777,5.45
sgemm,16,64,64,131072,0.000371,0.000375,0.000333,393.610,27.57
sgemm,16,128,128,524288,0.000749,0.000750,0.000708,740.520,51.86
sgemm,16,192,192,1179648,0.001333,0.001333,0.001167,1010.838,70.79
sgemm,16,256,256,2097152,0.002097,0.002084,0.001833,1144.109,80.13
sgemm,16,384,384,4718592,0.004190,0.004230,0.003791,1244.683,87.17
sgemm,16,512,512,8388608,0.009893,0.009875,0.008917,940.743,65.89
sgemm,16,768,768,18874368,0.014642,0.014417,0.013625,1385.275,97.02
sgemm,16,1024,1024,33554432,0.037797,0.037687,0.037417,896.770,62.81
sgemm,16,1536,1536,75497472,0.114526,0.114104,0.112459,671.333,47.02
sgemm,16,2048,2048,134217728,1.023218,0.896021,0.835250,160.692,11.25
sgemm,32,64,64,262144,0.000543,0.000500,0.000500,524.288,36.72
sgemm,32,128,128,1048576,0.001242,0.001208,0.001083,968.214,67.81
sgemm,32,192,192,2359296,0.002876,0.002541,0.002208,1068.522,74.83
sgemm,32,256,256,4194304,0.003862,0.003770,0.003458,1212.928,84.95
sgemm,32,384,384,9437184,0.007882,0.007687,0.007333,1286.947,90.13
sgemm,32,512,512,16777216,0.013985,0.013709,0.013041,1286.498,90.10
